name,metal,date_added,url,rating,edition,authors,artists,pages,price,ratings_count,setting
Tome of Magic (2e),Platinum seller,8/13/2013,https://www.dmsguild.com/product/17391/Tome-of-Magic-2e?filters=45471_0_0_0_0_0_0_0,4.4,2nd Edition,"['David Cook', 'Nigel Findley', 'Anthony Herring', 'Christopher Kubasik', 'Carl Sargent', 'Rick Swan']","['Jeff Easley', 'Stephen Fabian']",160,,21,No Setting
Monstrous Arcana: The Illithiad (2e),Platinum seller,7/8/2014,https://www.dmsguild.com/product/17448/Monstrous-Arcana-The-Illithiad-2e?filters=45471_0_0_0_0_0_0_0,4.4,2nd Edition,['Bruce R. Cordell'],"['Fred Fields', 'Glen Michael Angus', 'James Crabtree', 'David Martin', 'Mark Nelson', ""William O'Connor"", 'Arnie Swekel']",98,,21,No Setting
RR3 Van Richten's Guide to Vampires (2e),Platinum seller,11/19/2013,https://www.dmsguild.com/product/17491/RR3-Van-Richtens-Guide-to-Vampires-2e?filters=45471_0_0_0_0_0_0_0,4.9,2nd Edition,['Nigel D. Findley'],"['Den Beauvais', 'Stephen Fabian', 'Roy E. Parker']",96,14.99,16,Ravenloft
When Black Roses Bloom (2e),Platinum seller,6/3/2014,https://www.dmsguild.com/product/17528/When-Black-Roses-Bloom-2e?filters=45471_0_0_0_0_0_0_0,4.5,2nd Edition,['Lisa Smedman'],"['Scott Burdick', 'Mark A. Nelson', 'David C. Sutherland', 'III']",64,10.99,18,Ravenloft
Powers & Pantheons (2e),Gold seller,4/18/2017,https://www.dmsguild.com/product/17535/Powers--Pantheons-2e?filters=45471_0_0_0_0_0_0_0,3.9,2nd Edition,['Eric L. Boyd'],"['Todd Lockwood', 'Earl Geier', 'Karl Waller', 'Mathhew Cavotta', 'K.C. Lancaster']",194,19.99,15,Forgotten Realms
MC3 Monstrous Compendium Forgotten Realms Appendix (2e),Gold seller,11/29/2016,https://www.dmsguild.com/product/17539/MC3-Monstrous-Compendium-Forgotten-Realms-Appendix-2e?filters=45471_0_0_0_0_0_0_0,4.5,2nd Edition,"['William Connors', 'David Martin', 'Rick Swan', 'Gary Thomas']","['Jeff Easley', 'Thomas Baxa', 'Mark Nelson']",64,,13,Forgotten Realms
Cloak & Dagger (2e),Gold seller,8/15/2017,https://www.dmsguild.com/product/17549/Cloak--Dagger-2e?filters=45471_0_0_0_0_0_0_0,4.3,2nd Edition,"['Eric L. Boyd', 'Sean K Reynolds', 'Steven E. Schend']","['Jeff Easley', 'Ned Dameron', 'David A. Roach']",160,,10,Forgotten Realms
Volo's Guide to Cormyr (2e),Gold seller,10/1/2013,https://www.dmsguild.com/product/17561/Volos-Guide-to-Cormyr-2e?filters=45471_0_0_0_0_0_0_0,4.8,2nd Edition,['Ed Greenwood'],"['John Lakey', 'Laura Lakey', 'Valerie Valusek']",240,,17,Forgotten Realms
The City of Ravens Bluff,Silver seller,3/24/2022,https://www.dmsguild.com/product/17574/The-City-of-Ravens-Bluff?filters=45471_0_0_0_0_0_0_0,4.3,1st Edition,[],[],,,4,Forgotten Realms
For Duty & Deity (2e),Gold seller,6/6/2017,https://www.dmsguild.com/product/17576/For-Duty--Deity-2e?filters=45471_0_0_0_0_0_0_0,4.3,2nd Edition,['Dale Donovan'],"['Matt Adelsperger', 'Tanya Matson', ""William O'Connor""]",64,9.99,4,Forgotten Realms
MC1 Monstrous Compendium Volume One (2e),Platinum seller,5/17/2016,https://www.dmsguild.com/product/183092/MC1-Monstrous-Compendium-Volume-One-2e?filters=45471_0_0_0_0_0_0_0,4.5,2nd Edition,"['Jay Batista', 'Scott Bennie', 'Grant Boucher', 'William W. Connors', 'Steve Gilbert', 'Heike Kubasch', 'James Lowder', 'David Edward Martin', 'Bruce Nesmith', 'Jean Rabe', 'Rick Swan', 'John J. Terra', 'Gary L. Thomas']","['Jeff Easley', 'James Holloway']",144,,16,No Setting
Karameikos: Kingdom of Adventure (2e),Gold seller,12/10/2019,https://www.dmsguild.com/product/206208/Karameikos-Kingdom-of-Adventure-2e?filters=45471_0_0_0_0_0_0_0,4.8,2nd Edition,"['Aaron Allston', 'Jeff Grubb']","['Dan Frazier', 'Eric Hotz', 'Jennell Allyn Jaquays', 'John Lakey']",209,16,11,Greyhawk
Manual of the Planes (3e),Platinum seller,1/22/2013,https://www.dmsguild.com/product/25109/Manual-of-the-Planes-3e?filters=45471_0_0_0_0_0_0_0,4.4,3rd Edition (d20 System),"['Jeff Grubb', 'Bruce R. Cordell', 'David Noonan']",['Arnie Swenkel'],226,,12,No Setting
